date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2008-11-28,27.01,28.88,16.42,20.71,14.8334,209437400.0,0.0
2008-10-31,37.1,37.6,20.0,26.88,19.2526,249985200.0,0.14
2008-09-30,45.52,48.75,35.64,37.5,26.7479,194329900.0,0.0
2008-08-29,39.75,47.3,38.79,44.77,31.9334,134172100.0,0.0
2008-07-31,39.27,41.97,36.1,39.72,28.3314,146373000.0,0.13
2008-06-30,46.59,48.03,39.42,39.6,28.1533,164872000.0,0.0
2008-05-30,43.03,46.99,41.67,46.69,33.1939,120637000.0,0.0
2008-04-30,41.95,45.95,40.56,43.02,30.5848,137493400.0,0.13
2008-03-31,42.95,44.13,38.75,41.46,29.3884,153941700.0,0.0
2008-02-29,48.5,49.23,42.5,43.01,30.4871,163162100.0,0.0
2008-01-31,52.72,52.98,41.92,48.73,34.5417,222627100.0,0.13
2007-12-31,51.39,53.9,48.77,52.65,37.2177,142522400.0,0.0
2007-11-30,47.99,51.98,44.9,51.05,36.0867,152024200.0,0.0
2007-10-31,46.09,50.45,46.05,48.52,34.2982,134728900.0,0.13
2007-09-28,43.95,48.4,42.39,46.02,32.444,133329800.0,0.0
2007-08-31,44.14,46.07,41.85,43.95,30.9846,147427500.0,0.0
2007-07-31,46.7,48.48,44.04,44.59,31.4358,130571300.0,0.1
2007-06-29,48.4,49.44,44.24,46.67,32.8342,179689900.0,0.0
2007-05-31,46.25,48.36,44.7,48.29,33.974,112052900.0,0.0
2007-04-30,48.7,49.92,46.262,46.65,32.8202,117593000.0,0.1
2007-03-30,45.95,50.19,45.08,48.72,34.2063,120140800.0,0.0
2007-02-28,50.41,51.8,46.11,46.48,32.6336,74071500.0,0.0
2007-01-31,49.15,51.8,48.01,50.4,35.3859,120558700.0,0.0
2006-12-29,54.97,55.59,46.95,49.19,34.5363,166607900.0,0.1
2006-11-30,55.7,56.69,51.05,54.97,38.5165,104519400.0,0.0
2006-10-31,53.56,58.49,52.81,55.25,38.7126,85958200.0,0.0
2006-09-29,46.95,56.12,44.53,53.56,37.5285,143496700.0,0.1
2006-08-31,45.24,49.86,44.04,47.0,32.8707,97055600.0,0.0
2006-07-31,54.84,55.51,43.51,45.34,31.7097,113768300.0,0.0
2006-06-30,53.0,55.43,47.95,54.84,38.3538,96247500.0,0.08
2006-05-31,56.66,58.55,50.49,53.0,37.0133,77505700.0,0.0
2006-04-28,55.93,59.5,55.03,56.66,39.5693,59000800.0,0.08
2006-03-31,53.95,57.69,52.42,55.93,39.0061,78672200.0,0.0
2006-02-28,50.41,56.0,47.6001,53.86,37.5624,74113500.0,0.0
2006-01-31,43.75,51.25,43.32,50.66,35.3307,97632900.0,0.0
2005-12-30,48.52,51.03,42.75,43.48,30.3233,134388500.0,0.08
2005-11-30,44.26,51.65,43.65,48.24,33.5818,108831700.0,0.0
2005-10-31,43.2,45.44,40.66,44.26,30.8112,93728300.0,0.0
2005-09-30,47.5,50.66,40.4,43.53,30.303,148306700.0,0.08
2005-08-31,77.05,78.11,45.07,47.66,33.1172,93483734.0,0.0
2005-07-29,68.58,79.75,68.42,76.6,35.4844,62332136.0,0.0
2005-06-30,56.0,70.36,55.7,68.55,31.7553,102444937.0,0.11
2005-05-31,50.59,55.18,49.65,54.43,25.1739,48375803.0,0.0
2005-04-29,52.5,53.09,47.9,50.34,23.2823,84109203.0,0.11
2005-03-31,54.3,55.48,50.91,54.01,24.9239,81333737.0,0.0
2005-02-28,54.0,56.19,50.87,54.02,24.9285,59311669.0,0.0
2005-01-31,59.9,60.72,53.53,53.79,24.8224,71314136.0,0.11
2004-12-31,56.8,60.25,55.01,59.42,27.3697,75294937.0,0.0
2004-11-30,59.25,62.2,56.22,56.38,25.9694,70585804.0,0.0
2004-10-29,54.7,59.9,53.74,59.22,27.2776,57658136.0,0.11
2004-09-30,46.21,55.02,45.86,54.24,24.9338,79955071.0,0.0
2004-08-31,48.06,49.67,43.87,46.52,21.385,94493937.0,0.0
2004-07-30,51.03,51.82,45.65,48.16,22.1389,67259203.0,0.1
2004-06-30,53.0,54.63,50.09,50.74,23.2776,63132670.0,0.0
2004-05-28,54.25,54.99,49.03,52.76,24.2043,69493137.0,0.0
2004-04-30,51.73,56.25,50.28,54.25,24.8879,75902670.0,0.1
2004-03-31,53.38,54.67,45.15,51.72,23.6825,103047604.0,0.0
2004-02-27,50.56,55.05,49.82,53.25,24.3831,61531002.0,0.0
2004-01-30,52.28,54.79,49.97,50.39,23.0735,75302869.0,0.1
2003-12-31,62.5,62.7,48.5,52.24,23.8746,133789404.0,0.0
2003-11-28,58.52,62.15,56.95,62.0,28.335,60984404.0,0.3
2003-10-31,47.75,58.66,47.44,58.31,26.51,78852403.0,0.0
2003-09-30,52.34,54.1,46.21,47.52,21.6045,93954136.0,0.0
