Date,LastPrice,ShareOut,MarketCap,EPS,EPSTTM,PER,BVPS,PBV,ROA%,ROE%,EV,EBITDA,EV/EBITDA,D/E,Debt/Totalcap,Debt/EBITDA
2017-02-28,44.13,306000000.0,13503780000.0,0.6143790849673203,3.7982814271326397,11.618412391657397,14.702614379084967,3.0015070015559018,9.16248552682362,13.593678424186898,13807780000.0,630000000.0,21.91711111111111,0.9683921209344938,0.13364421073519198,2.138095238095238
2017-03-31,49.15,306000000.0,15039900000.0,0.6143790849673203,3.7982814271326397,12.940062747563132,14.702614379084967,3.34294287619471,9.16248552682362,13.593678424186898,15343900000.0,630000000.0,24.355396825396827,0.9683921209344938,0.13364421073519198,2.138095238095238
2017-04-28,51.81,306000000.0,15853860000.0,0.6143790849673203,3.7982814271326397,13.640379470015176,14.702614379084967,3.5238630806845967,9.16248552682362,13.593678424186898,16157860000.0,630000000.0,25.647396825396825,0.9683921209344938,0.13364421073519198,2.138095238095238
2017-05-31,59.39,300000000.0,17817000000.0,0.6966666666666667,3.881944997824074,15.299031808356265,14.49,4.098688750862664,8.911038381434096,27.559236254888432,17828000000.0,304000000.0,58.64473684210526,2.092707614446745,0.23750219259778987,4.453947368421052
2017-06-30,57.33,300000000.0,17199000000.0,0.6966666666666667,3.881944997824074,14.768369987759971,14.49,3.9565217391304346,8.911038381434096,27.559236254888432,17210000000.0,304000000.0,56.61184210526316,2.092707614446745,0.23750219259778987,4.453947368421052
2017-07-31,58.34,300000000.0,17502000000.0,0.6966666666666667,3.881944997824074,15.028548841547476,14.49,4.026224982746722,8.911038381434096,27.559236254888432,17513000000.0,304000000.0,57.608552631578945,2.092707614446745,0.23750219259778987,4.453947368421052
2017-08-31,54.26,296000000.0,16060960000.0,0.8074324324324325,4.069569123547241,13.333106860390235,14.027027027027026,3.868246628131021,8.407169428474806,29.937379576107897,15834960000.0,325000000.0,48.72295384615385,2.5609344894026975,0.24247400109469075,4.0892307692307694
2017-09-29,56.96,296000000.0,16860160000.0,0.8074324324324325,4.069569123547241,13.996567762031475,14.027027027027026,4.0607321772639695,8.407169428474806,29.937379576107897,16634160000.0,325000000.0,51.18203076923077,2.5609344894026975,0.24247400109469075,4.0892307692307694
2017-10-31,55.98,296000000.0,16570080000.0,0.8074324324324325,4.069569123547241,13.75575602736169,14.027027027027026,3.9908670520231215,8.407169428474806,29.937379576107897,16344080000.0,325000000.0,50.289476923076926,2.5609344894026975,0.24247400109469075,4.0892307692307694
2017-11-30,59.61,296000000.0,17644560000.0,0.8074324324324325,4.069569123547241,14.647742350679357,14.027027027027026,4.2496531791907515,8.407169428474806,29.937379576107897,17418560000.0,325000000.0,53.59556923076923,2.5609344894026975,0.24247400109469075,4.0892307692307694
